@relation ASS2009
@attribute skill_ID numeric
@attribute skill_mastery numeric
@attribute ability_profile numeric
@attribute problem_difficulty numeric
@attribute correctness {1,0}
@data
83,0.563882,0,2,1
82,0.74256,0,2,1
82,0.844854,0,1,1
37,0.606742,0,7,0
37,0.608723,0,0,1
37,0.608434,0,1,1
80,0.694021,0,4,1
38,0.695431,0,2,1
80,0.837221,0,3,1
81,0.103216,0,4,0
82,0.910562,0,2,1
80,0.92013,0,5,1
18,0.86166,0,1,1
82,0.949841,0,2,0
82,0.141734,0,0,1
82,0.294625,0,8,0
82,0.10194,0,1,0
82,0.101256,0,2,1
81,0.101207,0,5,1
81,0.265843,0,5,0
81,0.101652,7,3,0
43,0.521959,7,2,1
82,0.242802,7,1,1
82,0.413572,7,0,1
81,0.101204,7,3,1
81,0.265837,7,6,1
81,0.47794,7,6,0
56,0.833747,7,2,0
56,0.836664,7,0,1
38,0.788669,7,2,0
38,0.112082,7,2,1
46,0.646967,7,1,1
46,0.806842,7,4,1
46,0.903636,7,3,1
81,0.102646,7,4,1
83,0.748754,7,4,1
83,0.870508,7,3,0
83,0.11295,7,4,1
83,0.283038,7,2,1
83,0.496974,7,3,0
83,0.102776,7,5,1
38,0.238066,7,1,1
38,0.377973,7,3,1
38,0.518211,7,1,1
38,0.645062,7,2,1
38,0.749581,7,2,1
33,0.694888,7,2,1
31,0.602689,7,3,1
31,0.707827,7,1,1
31,0.794598,7,1,1
31,0.86066,7,3,1
31,0.907932,7,2,1
31,0.940277,7,4,1
23,0.540441,7,4,1
45,0.559615,7,5,1
79,0.778571,7,3,1
39,0.552876,7,2,1
82,0.586147,7,4,0
7,0.671739,7,3,1
7,0.765688,7,3,1
7,0.839171,1,4,1
7,0.892827,1,2,0
7,0.770643,1,2,1
7,0.842889,1,3,0
7,0.683964,1,1,1
7,0.77558,1,5,1
7,0.84658,1,1,1
43,0.680633,1,2,1
55,0.571429,1,0,1
47,0.808429,1,1,1
34,0.789386,1,2,1
34,0.875659,1,2,1
34,0.929246,1,2,1
34,0.960624,1,3,1
34,0.978364,1,2,1
40,0.754491,1,2,1
40,0.754274,1,2,1
40,0.754056,1,2,0
40,0.75615,1,2,1
40,0.755933,1,2,1
40,0.755716,1,3,1
40,0.755499,1,3,1
40,0.755282,1,1,1
38,0.829275,1,2,1
38,0.886523,1,2,1
38,0.925907,1,1,1
83,0.268161,1,1,1
37,0.608145,1,0,1
37,0.607857,1,3,1
34,0.988197,1,1,1
34,0.993586,1,2,0
