@relation 'ASS2009-weka.filters.unsupervised.attribute.Remove-R1-2,7'

@attribute skill numeric
@attribute cluster numeric
@attribute difficulty numeric
@attribute BKT numeric
@attribute class {1,0}

@data
81,0,5,0.103388,1
81,0,5,0.269063,0
81,0,4,0.101663,1
81,0,4,0.266516,1
83,0,3,0.549346,1
82,0,3,0.751471,1
83,0,3,0.737954,1
43,0,3,0.55665,1
81,0,4,0.478701,1
38,0,2,0.714777,1
80,0,3,0.705053,1
82,0,1,0.850814,1
82,0,1,0.914216,1
80,0,3,0.844101,1
80,0,4,0.92379,1
37,0,2,0.582822,1
18,0,1,0.878431,1
82,0,2,0.951963,1
81,0,5,0.682452,1
35,0,1,0.844193,1
33,2,2,0.687117,1
82,2,2,0.973513,1
97,2,4,0.672199,0
97,2,7,0.104679,1
97,2,5,0.270965,1
97,2,2,0.483667,1
97,2,5,0.686526,1
38,2,1,0.845323,1
38,2,2,0.920767,1
81,2,5,0.829909,1
83,2,4,0.864105,1
83,2,5,0.934279,1
38,2,2,0.960673,1
38,2,1,0.980795,1
38,2,1,0.990698,1
38,2,2,0.995512,1
38,2,1,0.997839,1
33,2,4,0.806683,1
31,2,5,0.599526,1
31,2,2,0.774411,0
31,2,5,0.107142,1
31,2,1,0.274579,1
31,2,3,0.487677,1
31,2,1,0.689795,1
31,2,3,0.834562,1
31,2,4,0.918708,1
23,2,0,0.5,1
45,2,4,0.460227,1
79,2,3,0.755245,1
39,2,2,0.558879,1
82,2,1,0.985522,1
82,2,2,0.992124,1
57,2,3,0.741722,1
48,2,6,0.245333,1
49,2,5,0.394531,0
49,2,4,0.102172,0
49,2,5,0.101205,1
49,2,4,0.265839,1
49,2,5,0.477942,1
54,2,3,0.34434,0
54,2,5,0.118224,0
54,2,5,0.033792,1
54,2,3,0.050664,1
54,2,1,0.074855,1
54,2,4,0.108856,0
54,2,1,0.030963,1
54,2,3,0.04657,1
54,2,6,0.069021,0
54,2,4,0.019403,1
80,2,4,0.964284,1
82,2,4,0.995727,1
82,2,5,0.997685,1
80,2,4,0.983606,1
42,2,4,0.360902,1
42,2,5,0.392207,1
42,2,2,0.424377,1
42,2,3,0.457158,1
43,2,1,0.708781,1
43,2,3,0.821825,1
82,2,1,0.998747,1
33,2,1,0.886722,1
33,2,1,0.935839,1
33,2,1,0.964389,1
34,2,3,0.779264,1
34,2,1,0.869106,1
34,2,2,0.925313,1
34,2,1,0.958367,1
34,2,2,0.977104,1
34,2,3,0.987503,1
35,2,0,0.84402,1
35,2,0,0.843847,1
35,2,1,0.843673,1
35,2,6,0.8435,1
35,2,1,0.843327,1
35,2,4,0.843153,0
97,2,3,0.832495,1
97,2,0,0.9176,1
98,2,3,0.555305,1
98,2,5,0.742406,1
47,2,1,0.804781,1
47,2,2,0.885514,0
47,2,3,0.118096,1
47,2,2,0.264675,1
47,2,1,0.43753,1
47,2,1,0.607938,1
47,2,1,0.748706,1
45,2,5,0.667056,1
55,2,2,0.581197,1
50,2,3,0.627083,1
50,2,5,0.793479,1
50,2,2,0.896204,1
50,2,4,0.95065,1
37,2,2,0.582545,1
51,2,6,0.55814,1
53,2,2,0.626437,1
53,2,1,0.762636,1
53,2,2,0.858216,1
53,2,3,0.918727,1
53,2,2,0.954573,1
50,2,3,0.977189,1
50,4,2,0.989598,1
50,4,4,0.995286,1
50,4,2,0.99787,1
50,4,1,0.999038,1
57,4,0,0.741501,1
50,4,6,0.999566,0
50,4,7,0.839992,1
50,4,3,0.921608,1
50,4,8,0.96322,1
2,4,3,0.514938,1
45,4,4,0.820021,0
2,4,4,0.597363,1
49,4,5,0.681827,0
49,4,2,0.104844,1
49,4,1,0.271207,1
49,4,3,0.483937,1
47,4,4,0.84897,1
40,4,1,0.726708,1
40,4,4,0.726485,1
40,4,0,0.726262,1
40,4,2,0.726039,0
40,4,2,0.728296,1
40,4,2,0.728073,1
40,4,2,0.72785,1
40,4,1,0.727627,1
40,4,1,0.727404,1
83,4,3,0.969366,1
80,4,6,0.992548,1
52,4,0,0.43342,1
52,4,7,0.432761,1
54,4,3,0.029718,1
54,4,5,0.044764,0
54,4,4,0.012712,1
54,4,5,0.019876,1
54,4,2,0.030412,1
54,4,3,0.045771,1
35,4,2,0.844626,1
35,4,4,0.844454,0
35,4,8,0.845917,0
35,4,3,0.847369,1
35,4,0,0.847198,1
35,4,0,0.847027,1
35,4,3,0.846856,1
35,4,1,0.846685,1
54,4,5,0.06788,1
38,4,5,0.99896,1
38,4,2,0.9995,1
80,4,4,0.996628,1
83,4,5,0.985975,1
83,4,2,0.993632,1
38,4,2,0.99976,1
38,4,1,0.999884,1
38,4,1,0.999944,1
38,4,3,0.999973,1
33,4,4,0.980463,1
31,4,1,0.961801,1
31,4,2,0.982444,1
31,4,3,0.992015,1
31,4,2,0.996386,1
31,4,6,0.998367,1
31,4,6,0.999263,0
31,4,7,0.758239,1
31,4,3,0.876066,1
31,4,4,0.940445,1
23,4,3,0.499501,1
45,4,6,0.109134,1
79,4,1,0.853324,1
39,4,7,0.710557,1
82,4,2,0.999322,1
82,4,2,0.999633,1
57,4,1,0.741281,1
48,4,4,0.393717,1
49,4,6,0.686747,0
49,4,5,0.104932,0
49,4,4,0.101211,0
49,4,4,0.101203,0
49,4,4,0.101203,1
49,4,4,0.265836,1
54,4,3,0.099134,1
54,4,3,0.142199,1
54,4,4,0.199499,0
54,4,5,0.060282,0
54,4,5,0.016963,1
54,4,4,0.026137,1
54,4,3,0.039558,1
54,4,4,0.058976,0
82,4,2,0.999802,1
82,4,2,0.999893,1
80,4,4,0.998477,1
42,4,4,0.490278,1
42,4,7,0.523451,1
42,4,3,0.55639,0
42,4,2,0.457992,1
42,4,4,0.491116,1
42,4,2,0.524287,1
43,4,4,0.896273,1
43,4,2,0.941482,1
33,4,3,0.989351,1
33,4,5,0.994216,1
33,4,0,0.996865,1
34,4,2,0.993207,1
34,4,1,0.996316,1
34,4,2,0.998005,1
34,4,1,0.99892,1
34,4,0,0.999416,1
35,4,0,0.846514,1
35,4,0,0.846343,1
35,4,6,0.846171,0
35,4,2,0.847621,0
35,4,3,0.849059,1
35,4,6,0.84889,1
35,4,2,0.84872,0
97,4,6,0.961259,1
97,4,7,0.982189,1
98,4,2,0.866753,1
98,4,4,0.935652,1
47,4,0,0.913087,1
47,4,3,0.951308,0
47,4,3,0.142965,0
47,4,2,0.101376,1
47,4,3,0.24296,1
47,4,2,0.413746,1
47,4,1,0.586308,1
45,4,4,0.27749,1
55,4,2,0.581007,0
55,4,4,0.583856,1
55,4,1,0.583666,0
55,4,0,0.586507,1
55,4,1,0.586315,1
50,4,4,0.983108,1
50,4,4,0.992319,1
50,4,3,0.996524,1
50,4,5,0.99843,1
37,4,3,0.582268,1
51,4,7,0.519564,0
53,4,1,0.974979,1
53,4,4,0.986331,1
53,4,3,0.992567,1
53,4,2,0.995968,1
53,4,2,0.997816,1
54,4,1,0.016601,1
54,4,1,0.025605,1
54,4,3,0.038783,1
54,4,6,0.057862,1
54,4,3,0.085054,1
35,4,5,0.85015,0
35,4,4,0.851568,1
35,4,0,0.8514,1
35,4,4,0.851233,1
35,4,6,0.851065,0
35,4,2,0.852476,1
35,4,2,0.852309,1
35,4,2,0.852142,1
35,4,3,0.851975,1
47,4,1,0.732106,1
50,4,2,0.999292,1
50,4,3,0.999681,1
50,4,2,0.999856,1
50,4,3,0.999935,1
50,4,1,0.999971,1
57,4,1,0.74106,1
50,4,4,0.999987,1
45,4,2,0.49089,1
49,4,4,0.477938,1
2,4,4,0.67459,1
47,4,1,0.837801,1
40,4,2,0.727181,0
40,4,3,0.729432,0
40,4,1,0.731669,1
40,4,1,0.731447,1
40,4,3,0.731225,1
40,4,3,0.731002,1
40,4,2,0.73078,1
83,4,3,0.99712,1
80,4,3,0.999313,1
52,4,4,0.432102,1
52,4,3,0.431445,0
52,4,5,0.43283,1
52,4,5,0.432172,1
52,4,5,0.431514,1
18,4,0,0.878316,1
18,4,1,0.8782,1
22,4,0,0.982659,1
21,4,7,0.625,0
21,4,7,0.626545,1
21,4,3,0.626139,1
21,4,5,0.625733,0
21,4,7,0.627276,0
21,4,2,0.628816,1
68,4,2,0.854305,1
21,4,5,0.62841,0
21,4,3,0.629947,1
21,4,5,0.62954,0
21,4,3,0.631075,1
21,4,7,0.630668,0
118,4,5,0.592593,1
21,4,4,0.6322,1
68,4,0,0.854174,1
21,4,1,0.631793,1
21,4,1,0.631387,1
21,4,2,0.63098,1
21,4,2,0.630573,1
21,4,3,0.630167,0
21,4,3,0.6317,1
21,4,3,0.631293,0
21,4,6,0.632824,0
21,4,4,0.634351,1
21,4,8,0.633944,1
21,4,2,0.633537,1
21,4,2,0.63313,1
21,4,1,0.632723,1
21,4,3,0.632316,1
21,4,2,0.631909,0
21,4,0,0.633438,1
21,4,3,0.633031,1
21,4,5,0.632624,1
19,4,1,0.743945,1
30,4,4,0.656126,0
30,4,4,0.562354,1
30,4,1,0.594658,1
30,4,2,0.626144,1
30,4,4,0.656579,1
30,4,5,0.685766,1
85,4,10,0.057143,0
84,4,4,0.322034,1
86,4,2,0.522727,1
84,4,6,0.32126,1
21,4,3,0.632217,1
21,4,4,0.63181,1
35,4,2,0.851808,1
1,4,2,0.628378,1
1,4,1,0.628083,1
2,4,7,0.743341,0
2,4,4,0.636333,1
2,4,5,0.709702,1
2,4,4,0.773517,1
2,4,6,0.826716,0
2,4,4,0.742382,1
2,4,3,0.80102,1
2,4,3,0.849016,1
2,4,6,0.887062,1
2,4,5,0.916461,1
14,4,6,0.588785,0
14,4,6,0.103572,1
14,4,8,0.269335,1
14,4,6,0.481852,1
14,4,3,0.68504,1
14,4,4,0.831553,1
13,4,1,0.565657,1
3,4,3,0.708571,1
3,4,3,0.708273,1
3,4,3,0.707975,1
7,4,3,0.66951,1
7,4,1,0.763873,1
12,4,0,0.674897,1
10,4,7,0.639731,1
7,4,4,0.837804,1
7,4,5,0.891858,1
7,4,1,0.929412,1
7,4,0,0.954588,1
7,4,2,0.971063,1
46,4,3,0.618827,1
46,4,3,0.787834,0
46,4,5,0.10764,1
46,4,5,0.275308,1
46,4,3,0.488483,0
46,4,4,0.102717,1
46,4,6,0.268074,1
46,4,2,0.480444,1
46,4,3,0.683885,1
46,4,1,0.83082,1
46,4,3,0.9167,1
46,4,2,0.960817,1
13,4,6,0.565109,0
13,4,4,0.566526,1
13,4,5,0.565977,1
13,4,7,0.56543,0
13,4,5,0.566846,1
13,4,5,0.566298,1
13,4,5,0.56575,1
15,4,0,0.65808,1
13,4,6,0.565202,1
15,4,2,0.814171,1
15,4,0,0.907666,1
15,4,0,0.956363,1
15,4,1,0.979889,1
7,4,2,0.981676,1
7,4,4,0.988443,1
7,4,1,0.992729,1
7,4,2,0.995433,1
5,4,1,0.756972,1
5,4,2,0.756807,1
67,4,0,0.698225,1
6,4,1,0.592391,1
6,4,7,0.736809,1
6,4,4,0.840982,1
8,4,0,0.519481,1
8,4,2,0.552463,1
8,4,1,0.584965,1
8,4,2,0.616724,1
8,4,2,0.647499,1
8,4,5,0.677082,1
8,4,4,0.705301,1
8,4,4,0.732019,0
8,4,4,0.64778,0
8,4,4,0.553288,1
8,4,3,0.585775,1
8,4,3,0.617512,1
99,4,4,0.539898,1
99,4,3,0.652086,1
99,4,1,0.749568,1
99,4,3,0.826966,0
99,4,3,0.658473,1
99,4,3,0.754837,1
99,4,3,0.830972,1
99,4,2,0.886996,1
100,4,5,0.539286,0
100,4,0,0.542228,1
100,4,0,0.542065,1
100,4,0,0.541903,1
100,4,3,0.541741,0
100,4,0,0.544679,1
100,4,3,0.544514,1
64,4,3,0.540984,1
64,4,2,0.540616,1
100,4,5,0.54435,1
100,4,4,0.544187,1
99,4,4,0.926099,0
99,4,4,0.834816,1
99,4,3,0.889734,1
99,4,0,0.927966,1
99,4,4,0.953632,1
99,4,2,0.970444,1
99,4,4,0.981279,1
99,4,3,0.988191,1
99,4,4,0.99257,1
60,4,7,0.672662,1
120,4,0,0.732218,1
120,4,2,0.731832,1
99,4,1,0.995333,1
4,4,6,0.598485,1
4,4,4,0.598086,1
4,4,2,0.597687,1
13,4,5,0.564654,1
59,4,5,0.5,1
46,4,2,0.981982,1
46,4,2,0.991803,1
46,4,2,0.996289,1
61,4,8,0.657658,1
99,4,1,0.997071,1
104,4,5,0.651934,1
105,4,1,0.787097,1
105,4,0,0.786937,1
105,4,0,0.786778,1
105,4,0,0.786619,1
105,4,1,0.786459,1
107,4,7,0.338521,0
107,4,8,0.236647,0
107,4,2,0.158382,1
107,4,4,0.208752,1
107,4,7,0.269786,1
107,4,7,0.340801,0
107,4,9,0.238482,0
107,4,2,0.15973,1
107,4,5,0.210415,0
107,4,5,0.139347,1
107,4,5,0.185087,1
58,4,4,0.728571,1
23,4,4,0.499003,0
23,4,5,0.500502,1
23,4,4,0.500003,1
23,4,6,0.499504,1
24,4,4,0.157895,0
24,4,4,0.124795,0
24,4,5,0.098024,1
24,4,5,0.113102,1
24,4,5,0.130033,0
95,4,1,0.839827,1
94,4,3,0.419811,0
94,4,4,0.421609,1
94,4,6,0.421375,1
94,4,5,0.421142,1
94,4,4,0.420909,1
96,4,2,0.496689,1
28,4,2,0.702247,1
27,4,2,0.725,1
89,4,4,0.854015,1
87,4,4,0.478261,1
90,4,4,0.518325,1
30,4,3,0.713543,0
30,4,3,0.626472,1
30,4,2,0.656895,1
30,4,6,0.686068,1
26,4,1,0.680412,1
30,4,1,0.713829,1
26,4,1,0.680111,1
30,4,4,0.740056,1
93,4,2,0.454978,1
93,4,4,0.662611,1
24,4,5,0.10223,1
107,3,5,0.241392,0
107,3,8,0.161873,1
107,3,2,0.213054,1
107,3,5,0.274896,1
107,3,5,0.346607,1
38,0,2,0.845323,1
81,0,7,0.570588,0
81,0,7,0.103388,1
81,0,4,0.269063,1
81,0,2,0.481548,1
8,0,2,0.519481,0
8,0,3,0.421455,0
8,0,4,0.3294,0
8,0,3,0.248989,0
8,0,2,0.183071,1
8,0,4,0.204254,0
8,0,3,0.148013,0
8,0,7,0.105469,0
8,0,5,0.074366,0
8,0,4,0.052189,1
2,0,3,0.514938,0
2,0,6,0.390987,0
2,0,3,0.279875,0
2,0,3,0.190723,1
